id,station_na,sensor_typ,latitude,longitude,region,region_sub,station_no
"22191",서해170,Buoy,36.133333329999999,124.056944400000006,"1","3","22191"
"22192",서해206,Buoy,34.000000000000000,123.262500000000003,"2","3","22192"
"22299",서해190,Buoy,35.000000000000000,124.133333300000004,"2","3","22299"
"22300",남해239,Buoy,32.833333330000002,124.733333299999998,"3","3","22300"
"22301",남해465,Buoy,31.666666670000001,126.400000000000006,"3","3","22301"
"22441",독도,Costal_wave_buoy,37.238611110000001,131.871388899999999,"5","3","22441"
"22101",덕적도,Buoy,37.236111110000003,126.018888899999993,"1","1","22101"
"22303",풍도,Buoy,37.116666670000001,126.375000000000000,"1","1","22303"
"955",서수도,Light_house_aws,37.325000000000003,126.393333299999995,"1","1","955"
"956",가대암,Light_house_aws,36.770000000000003,125.976666699999996,"1","1","956"
"22444",신진도,Costal_wave_buoy,36.604999999999997,126.126111100000003,"1","1","22444"
"22445",삽시도,Costal_wave_buoy,36.371388889999999,126.338333300000002,"1","1","22445"
"22461",이작도,Costal_wave_buoy,37.164999999999999,126.206388899999993,"1","1","22461"
"22472",자월도,Costal_wave_buoy,37.304444439999997,126.158055599999997,"1","1","22472"
"22473",서천,Costal_wave_buoy,36.166944440000002,126.332777800000002,"1","1","22473"
"22487",천수만,Costal_wave_buoy,36.467222219999996,126.439444399999999,"1","1","22487"
"22488",안면도,Costal_wave_buoy,36.536944439999999,126.298055599999998,"1","1","22488"
"22496",장봉도,Costal_wave_buoy,37.491388890000003,126.354166699999993,"1","1","22496"
"22509",장안퇴,Costal_wave_buoy,37.033611110000002,126.283055599999997,"1","1","22509"
"22522",연평도,Costal_wave_buoy,37.623055559999997,125.647222200000002,"1","1","22522"
"22525",볼음도,Costal_wave_buoy,37.350000000000001,126.133333300000004,"1","1","22525"
"22526",녹도,Costal_wave_buoy,36.250000000000000,126.200000000000003,"1","1","22526"
"22183",신안,Buoy,34.733333330000001,126.241666699999996,"2","1","22183"
"958",갈매여,Light_house_aws,35.613333330000003,126.245000000000005,"2","1","958"
"22449",진도,Costal_wave_buoy,34.442500000000003,126.056944400000006,"2","1","22449"
"22474",군산,Costal_wave_buoy,35.888055559999998,126.425555599999996,"2","1","22474"
"22475",영광,Costal_wave_buoy,35.435833330000001,126.176388900000006,"2","1","22475"
"22489",대치마도,Costal_wave_buoy,35.017499999999998,126.031944400000000,"2","1","22489"
"22492",비안도,Costal_wave_buoy,35.740555559999997,126.352222200000000,"2","1","22492"
"22493",자은,Costal_wave_buoy,34.916666669999998,125.866666699999996,"2","1","22493"
"22494",낙월,Costal_wave_buoy,35.200555559999998,126.210277800000000,"2","1","22494"
"22497",변산,Costal_wave_buoy,35.659166669999998,126.459166699999997,"2","1","22497"
"22504",위도,Costal_wave_buoy,35.649999999999999,126.250000000000000,"2","1","22504"
"22510",위도동부,Costal_wave_buoy,35.642777780000003,126.358611100000005,"2","1","22510"
"22304",남해244,Buoy,34.716666670000002,127.266666700000002,"3","1","22304"
"959",해수서,Light_house_aws,34.263333330000002,126.026666700000007,"3","1","959"
"22450",두미도,Costal_wave_buoy,34.744444440000002,128.175000000000011,"3","1","22450"
"22456",청산도,Costal_wave_buoy,34.138055559999998,126.744166699999994,"3","1","22456"
"22466",금오도,Costal_wave_buoy,34.566666669999996,127.776666700000007,"3","1","22466"
"22477",노화도,Costal_wave_buoy,34.241666670000001,126.491666699999996,"3","1","22477"
"22478",고흥,Costal_wave_buoy,34.375277779999998,127.178611099999998,"3","1","22478"
"22498",남해,Costal_wave_buoy,34.696388890000001,127.992500000000007,"3","1","22498"
"22500",조도,Costal_wave_buoy,34.287222219999997,126.115277800000001,"3","1","22500"
"22502",나로도,Costal_wave_buoy,34.432222220000000,127.589444400000005,"3","1","22502"
"22503",불무도,Costal_wave_buoy,34.317777780000000,126.174166700000001,"3","1","22503"
"963",이덕서,Light_house_aws,35.566666669999996,129.474999999999994,"4","1","963"
"984",오륙도,Light_house_aws,35.094999999999999,129.128333300000008,"4","1","984"
"22454",장안,Costal_wave_buoy,35.297222220000002,129.288611099999997,"4","1","22454"
"22455",해금강,Costal_wave_buoy,34.735833329999998,128.690833300000008,"4","1","22455"
"22459",오륙도,Costal_wave_buoy,35.094999999999999,129.128333300000008,"4","1","22459"
"22460",다대포,Costal_wave_buoy,35.022500000000001,128.956111099999987,"4","1","22460"
"22467",한산도,Costal_wave_buoy,34.702222220000003,128.496111100000007,"4","1","22467"
"22483",간절곶,Costal_wave_buoy,35.366944439999997,129.375000000000000,"4","1","22483"
"22484",잠도,Costal_wave_buoy,35.058055560000000,128.681111100000010,"4","1","22484"
"22485",소매물도,Costal_wave_buoy,34.621111110000001,128.538055600000007,"4","1","22485"
"22499",연화도,Costal_wave_buoy,34.667222219999999,128.384722199999999,"4","1","22499"
"22501",사량도,Costal_wave_buoy,34.860833329999998,128.133333300000004,"4","1","22501"
"22511",기장,Costal_wave_buoy,35.222222219999999,129.283333300000010,"4","1","22511"
"22512",지심도,Costal_wave_buoy,34.827777779999998,128.775000000000006,"4","1","22512"
"22513",이수도,Costal_wave_buoy,34.971666669999998,128.758333300000004,"4","1","22513"
"22518",당사,Costal_wave_buoy,35.577777779999998,129.502777799999990,"4","1","22518"
"22451",연곡,Costal_wave_buoy,37.867500000000000,128.885555600000004,"5","1","22451"
"22465",후포,Costal_wave_buoy,36.719166670000000,129.488055599999996,"5","1","22465"
"22471",토성,Costal_wave_buoy,38.277222219999999,128.575833299999999,"5","1","22471"
